Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3260.419922,3358.304932,3235.652832,3353.505859,3353.505859,3772904282
2019-01-02,3358.422119,3481.464111,3323.570313,3483.446045,3483.446045,4633091490
2019-01-03,3473.871582,3471.459229,3355.364014,3368.355713,3368.355713,3977171075
2019-01-04,3363.948730,3392.450439,3333.139893,3385.297607,3385.297607,4254278768
2019-01-05,3380.257324,3426.704834,3367.014160,3374.292725,3374.292725,4508432437
2019-01-06,3366.679932,3590.927002,3357.765137,3572.601807,3572.601807,4905016564
2019-01-07,3574.443359,3586.811523,3515.712891,3506.494385,3506.494385,4554786508
2019-01-08,3509.339111,3591.637695,3492.503418,3518.607910,3518.607910,4632231428
2019-01-09,3519.371582,3549.938477,3510.328369,3492.605469,3492.605469,4427887595
2019-01-10,3491.710449,3515.612549,3181.476563,3197.257813,3197.257813,5974139645
2019-01-11,3192.723145,3239.570801,3169.443604,3215.769775,3215.769775,4830339183
2019-01-12,3215.427734,3225.897461,3186.506836,3192.196777,3192.196777,4165967738
2019-01-13,3190.075684,3203.931396,3093.601318,3100.221680,3100.221680,4084792180
2019-01-14,3104.109619,3249.573486,3098.569580,3230.380371,3230.380371,4926029291
2019-01-15,3228.391113,3241.083252,3171.643799,3180.917969,3180.917969,4851261531
2019-01-16,3181.456787,3237.273193,3177.526367,3206.829834,3206.829834,4732988810
2019-01-17,3203.914307,3230.761963,3179.520264,3228.888916,3228.888916,4796438707
2019-01-18,3228.488525,3232.405518,3198.430664,3217.801270,3217.801270,4401105431
2019-01-19,3212.996826,3306.381836,3212.996826,3280.021484,3280.021484,5239221707
2019-01-20,3277.274902,3293.058350,3150.602783,3168.373535,3168.373535,4911786934
2019-01-21,3167.809570,3172.102539,3130.117676,3145.284912,3145.284912,4401553439
2019-01-22,3144.659424,3185.601563,3115.655518,3172.096191,3172.096191,4676089688
2019-01-23,3172.926270,3190.161865,3132.524170,3148.845947,3148.845947,4772516490
2019-01-24,3148.331055,3199.286377,3134.045410,3183.176025,3183.176025,4652392026
2019-01-25,3188.943848,3194.637451,3150.447998,3156.998291,3156.998291,4618153557
2019-01-26,3156.953857,3205.380127,3151.367920,3158.251953,3158.251953,4469541555
2019-01-27,3160.204102,3167.203857,3129.027344,3140.374756,3140.374756,4881255301
2019-01-28,3140.627930,3142.062012,3008.073486,3036.359619,3036.359619,6044747641
2019-01-29,3034.983887,3042.308105,2973.738037,3015.454102,3015.454102,5157195714
2019-01-30,3012.242432,3059.731934,2998.615723,3035.265137,3035.265137,5184854539
2019-01-31,3034.592529,3061.366455,3011.675049,3020.302490,3020.302490,5093417572
2019-02-01,3023.147705,3056.474121,2998.878174,3044.247314,3044.247314,4733081624
2019-02-02,3041.350098,3075.093506,3026.468018,3073.150146,3073.150146,4426467434
2019-02-03,3068.854980,3073.436035,3010.158691,3023.359619,3023.359619,4402303328
2019-02-04,3026.678223,3036.474609,3006.614258,3024.732910,3024.732910,4663004052
2019-02-05,3021.285400,3045.831787,3017.621094,3038.158203,3038.158203,4581790350
2019-02-06,3040.582520,3041.703125,2990.384033,3003.624023,3003.624023,4823543077
2019-02-07,3004.479004,3023.773682,2992.611328,2998.157227,2998.157227,4414116828
2019-02-08,2999.833740,3262.938965,2990.340332,3237.059326,3237.059326,6829062223
2019-02-09,3241.301758,3248.678223,3219.208008,3240.964355,3240.964355,5437061453
